Word,Tag
hoo,MALAYALAM
mammokka,NAME
police,ENGLISH
vesham,MALAYALAM
aaha,MALAYALAM
anthas,MALAYALAM
.,SYM
Oru,MALAYALAM
rekshayum,MALAYALAM
illakidilam,MALAYALAM
kannu,MALAYALAM
nananjupoyi,MALAYALAM
.,SYM
Ikka,NAME
waiting,ENGLISH
.,SYM
Raju,NAME
Ettante,NAME
Oro,MALAYALAM
Shorttum,MIXED
Ijathi,MALAYALAM
ppwli,MALAYALAM
.,SYM
Ettan,NAME
fansil,MIXED
netti,MALAYALAM
poya,MALAYALAM
aarenkilum,MALAYALAM
undo,MALAYALAM
madurarajawaiting,OTHER
.,SYM
Waiting,ENGLISH
see,ENGLISH
mammukaas,MIXED
undaa,MALAYALAM
rolling,ENGLISH
floor,ENGLISH
laughing,OTHER
.,SYM
Last,ENGLISH
aa,MALAYALAM
chadi,MALAYALAM
adi,MALAYALAM
Uff,OTHER
Frm,ENGLISH
ettan,NAME
fan,ENGLISH
.,SYM
1,NUMBER
day,ENGLISH
achu,NAME
5,NUMBER
million,ENGLISH
views,ENGLISH
kooda,MALAYALAM
varla,OTHER
.,SYM
heavy,ENGLISH
mass,ENGLISH
.,SYM
I,ENGLISH
katta,MALAYALAM
mammookka,NAME
fan,ENGLISH
.,SYM
Pulimurgan,OTHER
2,NUMBER
adyam,MALAYALAM
oralde,MALAYALAM
thallu,MALAYALAM
Pinne,MALAYALAM
kattil,MALAYALAM
ottakkulla,MALAYALAM
adi,MALAYALAM
.,SYM
Nte,MALAYALAM
ponno,MALAYALAM
oru,MALAYALAM
raksha,MALAYALAM
Illa,MALAYALAM
Ennaaa,MALAYALAM
Trailer,ENGLISH
.,SYM
Mammookka,NAME
fans,ENGLISH
like,ENGLISH
adi,MALAYALAM
Love,ENGLISH
u,ENGLISH
ikka,NAME
.,SYM
Dislike,ENGLISH
adikan,MALAYALAM
keri,MALAYALAM
like,ENGLISH
adichath,MALAYALAM
njaan,MALAYALAM
mathramaano,MALAYALAM
.,SYM
Enada,MALAYALAM
Oru,MALAYALAM
English,ENGLISH
comment,ENGLISH
kuda,MALAYALAM
kanom,MALAYALAM
.,SYM
Oh,ENGLISH
mass,ENGLISH
mass,ENGLISH
laletta,NAME
katta,MALAYALAM
waitingBgm,OTHER
.,SYM
Ith,MALAYALAM
powlichu,MALAYALAM
vaariyitte,MALAYALAM
pooku,MALAYALAM
.,SYM
73k,NUMBER
dislike,ENGLISH
adichavanmaarod,MALAYALAM
onne,MALAYALAM
parayanollu,MALAYALAM
OMKV,OTHER
.,SYM
Malayali,MALAYALAM
friends,ENGLISH
lalettan,NAME
padam,MALAYALAM
epdi,OTHER
irukku,OTHER
.,SYM
June,ENGLISH
16,NUMBER
Keralakara,MIXED
ilakki,MALAYALAM
marikkum,MALAYALAM
ikka,NAME
.,SYM
Ithu,MALAYALAM
Verum,MALAYALAM
unda,MALAYALAM
alla,MALAYALAM
Machinegun,ENGLISH
Nirachum,MALAYALAM
undayulla,MALAYALAM
machinegun,ENGLISH
.,SYM
Padam,MALAYALAM
kandu,MALAYALAM
kollaam,MALAYALAM
pakshe,MALAYALAM
chila,MALAYALAM
idangalil,MALAYALAM
lag,ENGLISH
und,MALAYALAM
ennu,MALAYALAM
eniku,MALAYALAM
thoni,MALAYALAM
.,SYM
Ikka,NAME
de,MALAYALAM
carter,ENGLISH
hit,ENGLISH
aavm,MALAYALAM
Maamankam,OTHER
ennathil,MALAYALAM
oru,MALAYALAM
samsyavum,MALAYALAM
vndaaa,MALAYALAM
.,SYM
vaada,MALAYALAM
otta,MALAYALAM
vili,MALAYALAM
athu,MALAYALAM
mathi,MALAYALAM
athu,MALAYALAM
maathram,MALAYALAM
mathi,MALAYALAM
.,SYM
Mammooka,NAME
fan,ENGLISH
kannadiga,OTHER
Dubai,PLACE
.,SYM
Babynet,ENGLISH
oppam,MALAYALAM
Shane,NAME
nigam,NAME
venaayirunnu,MALAYALAM
Enna,MALAYALAM
ithinakaal,MALAYALAM
adipoliyaayirikum,MALAYALAM
Shanente,MIXED
fans,ENGLISH
adi,MALAYALAM
like,ENGLISH
.,SYM
mamangam,OTHER
uff,OTHER
ijjathi,MALAYALAM
trailer,ENGLISH
oru,MALAYALAM
rakshem,MALAYALAM
illa,MALAYALAM
poli,MALAYALAM
.,SYM
Nalla,MALAYALAM
polippan,MALAYALAM
school,ENGLISH
life,ENGLISH
kanam,MALAYALAM
katta,MALAYALAM
waiting,ENGLISH
Mammukka,NAME
.,SYM
Trailer,ENGLISH
kande,MALAYALAM
oru,MALAYALAM
pidium,MALAYALAM
illatha,MALAYALAM
aralum,MALAYALAM
.,SYM
Feeling,ENGLISH
sad,ENGLISH
studying,ENGLISH
punjab,PLACE
ivde,MALAYALAM
release,ENGLISH
aakuvo,MALAYALAM
.,SYM
Polikkum,MALAYALAM
mammukkante,NAME
pattalam,MALAYALAM
movie,ENGLISH
orth,MALAYALAM
poyath,MALAYALAM
njaan,MALAYALAM
maatramaano,MALAYALAM
.,SYM
Tamilnadu,PLACE
thala,MALAYALAM
fans,ENGLISH
sarpakka,OTHER
movie,ENGLISH
hit,ENGLISH
panna,OTHER
valthukal,OTHER
.,SYM
Padam,MALAYALAM
release,ENGLISH
cheyunne,MALAYALAM
annu,MALAYALAM
thanne,MALAYALAM
kanumanne,MALAYALAM
urapullavar,MALAYALAM
Like,ENGLISH
adike,MALAYALAM
machanmaree,MALAYALAM
.,SYM
Telugu,OTHER
padam,MALAYALAM
pole,MALAYALAM
aavaathirunnal,MALAYALAM
mathiyaayirunnufight,MIXED
okke,MALAYALAM
ethandu,MALAYALAM
athupole,MALAYALAM
thanne,MALAYALAM
.,SYM
Thirunavayile,MIXED
arenkilum,MALAYALAM
undo,MALAYALAM
Trailer,ENGLISH
like,ENGLISH
cheyan,MALAYALAM
marakanda,MALAYALAM
.,SYM
INI,MALAYALAM
aarum,MALAYALAM
UNDA,MALAYALAM
enna,MALAYALAM
peril,MALAYALAM
kaliyaakkillaoru,MALAYALAM
adaar,MALAYALAM
trailer,ENGLISH
.,SYM
movie,ENGLISH
kandathinu,MALAYALAM
shesham,MALAYALAM
onum,MALAYALAM
kudi,MALAYALAM
trailer,ENGLISH
kanan,MALAYALAM
vanaver,MALAYALAM
like,ENGLISH
.,SYM
Mammoka,NAME
fans,ENGLISH
laletan,NAME
fans,ENGLISH
Katta,MALAYALAM
waiting,ENGLISH
.,SYM
Eee,MALAYALAM
eid,ENGLISH
ikka,NAME
ang,MALAYALAM
edutthu,MALAYALAM
ennu,MALAYALAM
paranjekk,MALAYALAM
.,SYM
Ahaa,MALAYALAM
hahaha,OTHER
ha,OTHER
Nte,MALAYALAM
ponnikkka,MIXED
mutheeee,MALAYALAM
.,SYM
Fan,ENGLISH
show,ENGLISH
setarokke,MIXED
fan,ENGLISH
showkk,MIXED
pokunnu,MALAYALAM
und,MALAYALAM
.,SYM
Pwoolichadhya,MALAYALAM
3,NUMBER
manikkoor,MALAYALAM
il30k,NUMBER
kku,MALAYALAM
mukalil,MALAYALAM
views,ENGLISH
.,SYM
Ithin,MALAYALAM
dislike,ENGLISH
addikunavar,MALAYALAM
lokka,MALAYALAM
tholvikallayirkkum,MALAYALAM
.,SYM
Visit,ENGLISH
link,ENGLISH
Vov,OTHER
yar,OTHER
sad,ENGLISH
made,ENGLISH
crying,ENGLISH
sad,ENGLISH
omng,OTHER
sad,ENGLISH
must,ENGLISH
watch,ENGLISH
Osmmmosmmmmmmmmmmmmmmmmmmmmm,OTHER
.,SYM
Ini,MALAYALAM
nammalarenkilum,MALAYALAM
chathale,MALAYALAM
sarkar,MALAYALAM
sradhikku,MALAYALAM
ennano,MALAYALAM
ith,MALAYALAM
porikkum,MALAYALAM
.,SYM
FDFS,ENGLISH
LOCKED,ENGLISH
LALETTAN,NAME
RAJUETTAN,NAME
uff,OTHER
ejathi,MALAYALAM
.,SYM
Feel,ENGLISH
good,ENGLISH
movie,ENGLISH
2019,NUMBER
le,OTHER
best,ENGLISH
movie,ENGLISH
aavum,MALAYALAM
ithu,MALAYALAM
urappu,MALAYALAM
.,SYM
1k,NUMBER
dislikes,ENGLISH
Ella,MALAYALAM
dislike,ENGLISH
pannikalkum,MALAYALAM
endhe,MALAYALAM
naduviral,MALAYALAM
namskaram,MALAYALAM
.,SYM
Mohan,NAME
Lal,NAME
Katys,OTHER
fans,ENGLISH
onnn,MALAYALAM
like,ENGLISH
Chevu,OTHER
Chet,OTHER
daaaa,MALAYALAM
Lal,NAME
attan,NAME
.,SYM
2million,NUMBER
One,ENGLISH
day,ENGLISH
poolumaayillaaaa,MALAYALAM
Iragittt,MALAYALAM
Great,ENGLISH
lalettaa,NAME
.,SYM
Eante,MALAYALAM
ponnooo,MALAYALAM
romanjam,MALAYALAM
vannu,MALAYALAM
poeonnum,MALAYALAM
parayanilla,MALAYALAM
.,SYM
Eth,MALAYALAM
oru,MALAYALAM
onnonnara,MALAYALAM
padam,MALAYALAM
aavum,MALAYALAM
enn,MALAYALAM
urappullavar,MALAYALAM
like,ENGLISH
adi,MALAYALAM
.,SYM
Surajettan,NAME
kunjunni,NAME
mash,MALAYALAM
ayi,MALAYALAM
abhinayichal,MALAYALAM
powlikkum,MALAYALAM
.,SYM
Pakka,MALAYALAM
trailer,ENGLISH
Rajuvettan,NAME
Brilliance,ENGLISH
Lalettante,NAME
time,ENGLISH
best,ENGLISH
character,ENGLISH
aavum,MALAYALAM
luv,ENGLISH
u,ENGLISH
laletta,NAME
.,SYM
Raazau,OTHER
Do,ENGLISH
.,SYM
Lucifer,OTHER
kandu,MALAYALAM
Eny,MALAYALAM
Ethu,MALAYALAM
Kananam,MALAYALAM
Ohhhh,OTHER
.,SYM
Lalettan,NAME
fans,ENGLISH
full,ENGLISH
support,ENGLISH
und,MALAYALAM
makkaleee,MALAYALAM
.,SYM
Keralathinu,MIXED
purathu,MALAYALAM
ninnulla,MALAYALAM
